"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"2541","Tern sp.",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2542","UNBI",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2543","WODU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2544","WWSC",2021-10-11,"","","","","",6,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2545","ABDU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2546","AMWI",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2547","BLGU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2548","BLKI",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2549","BLSC",2021-10-12,"","","","","",24,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2550","BLSK",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2551","BOGU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2552","BRAN",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2553","BUFF",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2554","Calidris sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2555","CANG",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2556","CATE",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2557","CO sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2558","COEI",2021-10-12,"","","","","",81,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2559","COGO",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2560","COLO",2021-10-12,"","","","","",3,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2561","COMU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2562","COTE",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2563","DCCO",2021-10-12,"","","","","",74,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2564","Duck sp.",2021-10-12,"","","","","",7,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2565","GBHE",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2566","GRCO",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2567","Great Shearwater",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2568","GREG",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2569","GRSC",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2570","GWTE",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2571","HADU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2572","HOGR",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2573","Jaeger sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2574","LAGU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2575","Large alcid sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2576","LO sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2577","LTDU",2021-10-12,"","","","","",1,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2578","MALL",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2579","MALL/ABDU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2580","NOGA",2021-10-12,"","","","","",36,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2581","NOPI",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2582","PAJA",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2583","POJA",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2584","RAZO",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2585","RBGU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2586","RBME",2021-10-12,"","","","","",2,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2587","RNGR",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2588","RNPH",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2589","RTLO",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2590","SC sp.",2021-10-12,"","","","","",2,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2591","Scaup sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2592","Shearwater sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2593","SUSC",2021-10-12,"","","","","",16,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2594","Tern sp.",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2595","UNBI",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2596","WODU",2021-10-12,"","","","","",0,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2597","WWSC",2021-10-12,"","","","","",9,120,"6:30 - 8:00, 3:25 - 4:00","","","RZK","W 6, SW 4-12","","","unl. - 8 miles"
"2598","ABDU",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2599","AMWI",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2600","BLGU",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2601","BLKI",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2602","BLSC",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2603","BLSK",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2604","BOGU",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2605","BRAN",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2606","BUFF",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2607","Calidris sp.",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2608","CANG",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2609","CATE",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2610","CO sp.",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2611","COEI",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2612","COGO",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2613","COLO",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
"2614","COMU",2021-10-13,"","","","","",0,0,NA,"","",NA,NA,"","",NA
