"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"154","Scaup sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"155","Shearwater sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"156","Tern sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"157","UNBI",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"158","WODU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"159","WWSC",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"160","ABDU",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"161","AMWI",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"162","BLGU",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"163","BLKI",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"164","BLSC",2021-08-26,"","","","","",1,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"165","BLSK",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"166","BOGU",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"167","BRAN",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"168","BUFF",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"169","CANG",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"170","CATE",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"171","CO sp.",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"172","COEI",2021-08-26,"","","","","",11,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"173","COGO",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
